DEL NORTE 2E	maxt	mint	pcpn	snow
2015-11-11	53	20	T	T
2015-11-12	46	14	0.00	0.0
2015-11-13	46	17	0.00	0.0
2015-11-14	51	21	0.00	0.0
2015-11-15	51	18	0.00	0.0
2015-11-16	51	18	0.20	2.7
2015-11-17	41	28	0.02	0.3
2015-11-18	41	14	0.00	0.0
2015-11-19	44	14	0.00	0.0
2015-11-20	44	14	0.00	0.0
2015-11-21	53	14	0.00	0.0
2015-11-22	53	14	0.00	0.0
2015-11-23	47	19	0.00	0.0
2015-11-24	47	17	0.00	0.0
2015-11-25	49	18	0.00	0.0
2015-11-26	55	18	T	0.0
2015-11-27	55	18	T	0.1
2015-11-28	39	19	0.00	0.0
2015-11-29	41	18	0.00	0.0
2015-11-30	41	18	T	T
2015-12-01	34	6	0.00	0.0
2015-12-02	37	6	0.00	0.0
2015-12-03	40	13	0.00	0.0
2015-12-04	43	15	0.00	0.0
2015-12-05	45	15	0.00	0.0
2015-12-06	44	13	0.00	0.0
2015-12-07	41	15	0.00	0.0
2015-12-08	46	16	0.00	0.0
2015-12-09	51	17	0.00	0.0
2015-12-10	49	19	0.00	0.0
2015-12-11	52	23	0.00	0.0
2015-12-12	49	29	0.14	1.9
2015-12-13	49	22	0.03	0.5
2015-12-14	46	13	0.00	0.0
2015-12-15	46	14	0.02	0.4
2015-12-16	29	7	0.00	0.0
2015-12-17	29	6	0.00	0.0
2015-12-18	29	7	0.00	0.0
2015-12-19	35	8	0.00	0.0
2015-12-20	39	12	0.00	0.0
2015-12-21	39	11	0.00	0.0
2015-12-22	40	11	0.00	0.0
2015-12-23	43	11	0.00	0.0
2015-12-24	37	5	0.00	0.0
2015-12-25	29	2	0.16	3.0
2015-12-26	29	-2	0.16	2.3
2015-12-27	29	-1	0.00	0.0
2015-12-28	31	4	0.00	0.0
2015-12-29	23	1	0.00	0.0
2015-12-30	24	4	0.00	0.0
2015-12-31	24	-1	0.00	0.0
2016-01-01	26	-0	0.00	0.0
2016-01-02	24	3	0.00	0.0
2016-01-03	25	6	0.00	0.0
2016-01-04	31	8	0.00	0.0
2016-01-05	32	9	0.02	0.4
2016-01-06	33	13	0.00	0.0
2016-01-07	33	13	T	T
2016-01-08	33	13	0.06	1.2
2016-01-09	28	-0	0.38	4.4
2016-01-10	11	-2	0.00	0.0
2016-01-11	11	-2	0.00	0.0
2016-01-12	19	-5	0.00	0.0
2016-01-13	19	-3	0.00	0.0
2016-01-14	28	-1	0.00	0.0
2016-01-15	27	2	0.00	0.0
2016-01-16	24	6	0.00	0.0
2016-01-17	25	5	0.00	0.0
2016-01-18	32	7	0.00	0.0
2016-01-19	29	9	0.00	0.0
2016-01-20	34	10	0.00	0.0
2016-01-21	37	9	0.01	T
2016-01-22	26	6	0.00	0.0
2016-01-23	31	8	0.00	0.0
2016-01-24	32	8	0.00	0.0
2016-01-25	36	6	0.00	M
2016-01-26	37	6	0.00	0.0
2016-01-27	27	3	0.00	0.0
2016-01-28	30	4	0.00	0.0
2016-01-29	38	7	0.00	0.0
2016-01-30	40	10	0.00	0.0
2016-01-31	46	17	0.14	1.8
2016-02-01	38	26	0.14	1.8
2016-02-02	31	16	0.01	0.2
2016-02-03	26	4	T	T
2016-02-04	22	-1	0.00	0.0
